,Partícula,Sensor
0,ausente,nao detectou
1,ausente,nao detectou
2,ausente,nao detectou
3,ausente,nao detectou
4,presente,detectou
5,ausente,nao detectou
6,ausente,nao detectou
7,ausente,detectou
8,ausente,nao detectou
9,ausente,detectou
10,ausente,nao detectou
11,ausente,nao detectou
12,ausente,nao detectou
13,presente,nao detectou
14,ausente,nao detectou
15,ausente,nao detectou
16,ausente,nao detectou
17,ausente,nao detectou
18,presente,detectou
19,presente,nao detectou
20,presente,nao detectou
21,ausente,detectou
22,ausente,nao detectou
23,ausente,nao detectou
24,ausente,nao detectou
25,ausente,detectou
26,ausente,nao detectou
27,ausente,detectou
28,ausente,nao detectou
29,presente,nao detectou
30,ausente,detectou
31,ausente,detectou
32,ausente,detectou
33,ausente,nao detectou
34,ausente,nao detectou
35,ausente,nao detectou
36,presente,nao detectou
37,presente,detectou
38,ausente,nao detectou
39,ausente,nao detectou
40,ausente,nao detectou
41,ausente,nao detectou
42,presente,nao detectou
43,presente,detectou
44,ausente,nao detectou
45,ausente,nao detectou
46,ausente,nao detectou
47,ausente,nao detectou
48,ausente,nao detectou
49,ausente,nao detectou
50,ausente,detectou
51,ausente,nao detectou
52,ausente,nao detectou
53,presente,detectou
54,ausente,nao detectou
55,ausente,nao detectou
56,ausente,nao detectou
57,ausente,nao detectou
58,ausente,nao detectou
59,presente,detectou
60,ausente,nao detectou
61,ausente,nao detectou
62,presente,detectou
63,presente,detectou
64,presente,nao detectou
65,ausente,nao detectou
66,ausente,nao detectou
67,ausente,detectou
68,ausente,detectou
69,ausente,nao detectou
70,ausente,detectou
71,ausente,nao detectou
72,ausente,nao detectou
73,ausente,detectou
74,ausente,nao detectou
75,ausente,nao detectou
76,presente,detectou
77,ausente,nao detectou
78,ausente,nao detectou
79,ausente,nao detectou
80,ausente,detectou
81,presente,detectou
82,ausente,nao detectou
83,presente,nao detectou
84,ausente,nao detectou
85,presente,detectou
86,presente,detectou
87,ausente,nao detectou
88,ausente,nao detectou
89,presente,detectou
90,ausente,nao detectou
91,presente,nao detectou
92,presente,nao detectou
93,ausente,nao detectou
94,ausente,nao detectou
95,ausente,nao detectou
96,presente,detectou
97,presente,detectou
98,ausente,nao detectou
99,presente,detectou
100,ausente,nao detectou
101,ausente,nao detectou
102,ausente,detectou
103,ausente,nao detectou
104,ausente,nao detectou
105,ausente,nao detectou
106,ausente,nao detectou
107,ausente,detectou
108,ausente,nao detectou
109,ausente,nao detectou
110,ausente,detectou
111,ausente,nao detectou
112,ausente,nao detectou
113,ausente,nao detectou
114,ausente,nao detectou
115,ausente,nao detectou
116,ausente,detectou
117,presente,detectou
118,ausente,nao detectou
119,presente,detectou
120,ausente,nao detectou
121,ausente,nao detectou
122,ausente,nao detectou
123,ausente,nao detectou
124,ausente,nao detectou
125,ausente,nao detectou
126,ausente,nao detectou
127,ausente,nao detectou
128,ausente,nao detectou
129,ausente,nao detectou
130,ausente,nao detectou
131,ausente,nao detectou
132,ausente,nao detectou
133,presente,nao detectou
134,ausente,nao detectou
135,presente,nao detectou
136,ausente,nao detectou
137,ausente,nao detectou
138,ausente,detectou
139,ausente,nao detectou
140,ausente,nao detectou
141,ausente,nao detectou
142,ausente,nao detectou
143,presente,detectou
144,ausente,nao detectou
145,ausente,nao detectou
