,0
0,"403,1188309"
1,"443,9875245"
2,"476,4709324"
3,"360,770522"
4,"469,0571457"
5,"374,3341957"
6,"367,8734434"
7,"272,2671387"
8,"431,1829606"
9,"440,0757923"
10,"452,223122"
11,"310,1221067"
12,"320,900128"
13,"433,8762244"
14,"422,8133352"
15,"613,1068298"
16,"394,5492163"
17,"338,784395"
18,"380,9809977"
19,"360,6888937"
20,"416,6154603"
21,"368,1200759"
22,"489,3934621"
23,"469,1095699"
24,"406,9376987"
25,"374,2417808"
26,"424,7883879"
27,"429,8555093"
28,"414,1315171"
29,"521,8532248"
30,"361,6805683"
31,"478,6589954"
32,"451,271017"
33,"400,7917295"
34,"369,0714377"
35,"466,5240104"
36,"407,880976"
37,"389,9096302"
38,"289,1121545"
39,"313,8418168"
40,"335,5301817"
41,"236,0522172"
42,"558,6344991"
43,"317,6766908"
44,"514,1391866"
45,"289,797151"
46,"266,9473738"
47,"503,223746"
48,"377,1481974"
49,"446,265434"
50,"326,2933617"
51,"415,6657343"
52,"359,3789412"
53,"381,1898057"
54,"375,5422162"
55,"625,6165058"
56,"218,9943874"
57,"582,7638258"
58,"338,4697642"
59,"268,5004734"
60,"404,9110729"
61,"506,142077"
62,"357,2014776"
63,"340,8345051"
64,"366,2073857"
65,"381,7038031"
66,"445,0112911"
67,"366,1812291"
68,"366,6756461"
69,"399,0617112"
70,"360,5005483"
71,"467,0213784"
72,"299,1422942"
73,"406,2236143"
74,"392,9383688"
75,"429,2179881"
76,"379,9974308"
77,"413,2935567"
78,"526,0007531"
79,"354,3123779"
80,"358,7044642"
81,"475,4191611"
82,"514,5186151"
83,"492,9381488"
84,"432,9503903"
85,"451,4950219"
86,"385,2632606"
87,"586,4286573"
88,"382,5495128"
89,"431,1192592"
90,"409,7165434"
91,"461,7712145"
92,"479,8054839"
93,"378,5854884"
94,"459,6927464"
95,"289,4466181"
96,"439,2610179"
97,"630,7647276"
98,"482,2313547"
99,"419,3737541"
100,"463,7501743"
101,"400,2180864"
102,"545,8736298"
103,"535,6353836"
104,"423,9639314"
105,"383,4365477"
106,"428,9790412"
107,"328,473515"
108,"354,4182277"
109,"518,9970625"
110,"366,2637557"
111,"491,6383025"
112,"333,7224613"
113,"403,238791"
114,"347,0164109"
115,"417,0423339"
116,"432,2360099"
117,"428,2584662"
118,"417,7993626"
119,"460,8182284"
120,"356,8016081"
121,"450,3778796"
122,"297,6957557"
123,"320,4188004"
124,"417,6726368"
125,"293,4416221"
126,"320,5447241"
127,"328,4547911"
128,"340,6275208"
129,"380,2464375"
130,"501,3537264"
131,"504,2287331"
132,"425,4513443"
133,"438,2010718"
134,"315,4392945"
135,"477,6139335"
136,"442,733075"
137,"464,1515466"
138,"371,3916365"
139,"397,9998631"
140,"410,1690247"
141,"485,8476687"
142,"401,9899028"
143,"497,4783375"
144,"372,1590005"
145,"464,432867"
146,"410,8746709"
147,"470,441543"
148,"145,6842257"
149,"320,1192351"
150,"384,2865694"
151,"554,4331451"
152,"406,5198647"
153,"229,7027588"
154,"474,4458947"
155,"486,5889663"
156,"499,1734965"
157,"313,5928711"
158,"360,1356501"
159,"466,9159411"
160,"271,9502546"
161,"394,399299"
162,"419,9594904"
163,"442,5039219"
164,"282,2073467"
165,"601,1959658"
166,"429,5091558"
167,"339,9688716"
168,"305,106296"
169,"350,7592703"
170,"366,3010852"
171,"391,8995734"
172,"472,0340528"
173,"419,2211987"
174,"434,2809773"
175,"277,9858945"
176,"348,1210698"
177,"275,3802889"
178,"421,8138163"
179,"491,0904336"
180,"398,9026308"
181,"368,545624"
182,"377,9239365"
183,"440,8450701"
184,"401,2276859"
185,"346,4459221"
186,"450,0735649"
187,"306,2453052"
188,"289,1200168"
189,"339,0936735"
190,"533,3879683"
191,"513,7810721"
192,"522,7897751"
193,"491,8157492"
194,"393,0943883"
195,"428,3720744"
196,"386,9698289"
197,"291,4440848"
198,"321,9941541"
199,"404,9494272"
200,"466,3925467"
201,"419,1120954"
202,"353,8955436"
203,"356,7985039"
204,"388,3926795"
205,"361,8279451"
206,"112,8585498"
207,"456,9944389"
208,"562,1949387"
209,"465,260123"
210,"325,0451986"
211,"475,6791604"
212,"374,2916686"
213,"264,4750645"
214,"401,9408711"
