salário (kR$);gênero
9.702955099;homem
8.043528813;homem
5.908271937;homem
5.346081828;mulher
8.443861858;homem
6.407708382;homem
10.49502882;homem
4.162419599;mulher
6.426313296;homem
8.924570754;homem
3.989499042;mulher
4.595486517;mulher
10.37680687;mulher
10.79273434;homem
7.061587407;mulher
10.28919798;homem
6.848826214;mulher
12.22170153;homem
9.685581019;homem
10.30255608;homem
9.758195309;homem
1.287118557;mulher
11.56188592;homem
7.229867452;homem
8.646659672;homem
3.368371871;mulher
8.258842531;mulher
10.32198769;homem
4.114012263;mulher
8.043687211;mulher
5.535584716;mulher
6.14134211;mulher
10.83121147;homem
7.489937434;homem
14.61720914;homem
6.387193934;mulher
7.517248437;homem
8.10783446;homem
7.000569276;mulher
3.827711676;homem
6.222418879;homem
10.61821565;mulher
5.261459545;homem
4.282024271;homem
7.211857075;mulher
4.662894755;homem
6.468088849;mulher
11.79271121;homem
11.21650324;homem
11.54424941;homem
9.231903232;homem
5.064483461;mulher
8.937672549;mulher
3.04487656;mulher
7.36571604;mulher
6.818737839;mulher
8.031551062;homem
5.025852603;mulher
10.51020015;homem
9.575475351;mulher
7.25128288;mulher
8.758796002;homem
7.277661206;homem
6.745413016;mulher
8.298537129;homem
8.756043448;homem
3.264483311;mulher
12.17925183;homem
6.469328768;homem
9.271367771;mulher
13.49813865;homem
10.37109509;homem
6.038721957;mulher
8.88158849;homem
6.052971808;homem
8.712231647;mulher
6.469912826;homem
1.855900584;mulher
4.005927861;mulher
6.432789021;mulher
4.699387322;mulher
7.252863587;mulher
8.333472204;homem
2.734940604;mulher
8.565424999;homem
5.835870306;mulher
7.310193126;mulher
5.414401098;mulher
9.433246415;homem
12.61501681;homem
5.125680407;homem
6.492198373;mulher
10.47801196;homem
6.297755785;mulher
9.372334734;homem
6.504264775;mulher
5.644611628;mulher
6.942697364;homem
5.255165329;mulher
6.433526155;mulher
10.06735329;homem
9.655447677;homem
11.62417601;homem
5.109946854;mulher
7.632526296;homem
5.103094018;mulher
6.332545926;mulher
4.87839432;mulher
9.895041252;homem
5.284644241;homem
3.83846612;mulher
6.7842991;mulher
8.288307119;homem
5.566264499;mulher
6.210792913;homem
9.885771303;mulher
9.508253079;homem
10.52920641;homem
4.227043229;mulher
4.924560082;mulher
5.905494122;mulher
8.376534548;homem
0.453238531;mulher
12.58062754;homem
4.472200515;mulher
10.01097773;homem
5.77320877;mulher
8.551083693;homem
12.02917693;homem
4.807548369;mulher
9.794623772;homem
10.4752821;homem
6.106798328;mulher
5.092974004;mulher
5.599403827;mulher
8.291851744;homem
5.25930314;mulher
8.065196458;mulher
4.335576359;mulher
6.268705699;homem
3.328223938;mulher
5.640901629;mulher
6.182419256;mulher
7.230058632;mulher
8.966676589;homem
8.441183928;homem
4.5390712;mulher
6.49705814;mulher
7.698447514;homem
10.88090732;homem
8.327409224;homem
6.068951201;mulher
8.902565507;mulher
6.47916056;homem
9.496575988;homem
7.700891811;mulher
4.984503924;mulher
11.68060172;homem
6.10328263;mulher
9.413311392;homem
4.104348258;mulher
11.11646876;homem
9.509926878;homem
4.22353355;mulher
8.9316344;homem
4.526967796;mulher
11.22173336;homem
6.982209002;homem
3.389217082;mulher
10.02119975;homem
3.987379668;mulher
9.02399792;mulher
6.449232267;homem
4.096557411;mulher
8.692802027;homem
6.565401531;mulher
7.369234994;mulher
5.851762639;mulher
7.934417663;mulher
7.377250709;mulher
5.804268124;homem
6.273980056;mulher
8.531986252;homem
13.00797368;homem
11.06952964;homem
7.733016985;mulher
10.81075171;homem
3.783872909;mulher
6.937267755;homem
6.949216857;homem
6.047776787;homem
8.915961144;homem
7.532778726;homem
8.618746721;homem
5.266018943;mulher
6.687249781;mulher
9.565065509;homem
7.583327661;homem
5.926964945;mulher
8.353840072;mulher
6.547239374;homem
6.83257678;mulher
5.760558742;mulher
7.243189802;homem
7.045106397;homem
10.98316621;homem
5.744532795;homem
6.78556396;mulher
7.762096402;homem
4.851731102;mulher
6.004667155;mulher
8.700250904;mulher
10.3070145;homem
10.91287006;homem
8.925629803;homem
7.647947119;homem
6.267261964;homem
6.46905079;homem
7.514565975;homem
8.300191659;mulher
7.903869273;mulher
9.664109842;homem
7.954934223;homem
8.274820784;homem
6.842224339;homem
10.66468136;homem
5.55033078;mulher
9.072267292;homem
7.34641296;homem
7.205692498;homem
8.716499786;mulher
5.531899363;mulher
7.036944633;mulher
10.70164961;homem
6.269174589;mulher
5.809716024;mulher
9.433310295;homem
6.410229633;mulher
6.508730452;mulher
7.25370288;homem
2.807334515;mulher
9.918712505;homem
5.24071781;mulher
7.311860391;mulher
9.192776043;homem
3.841869031;mulher
6.1087912;mulher
8.471581869;homem
5.636087149;homem
7.282133499;homem
7.109801049;homem
7.685574602;mulher
12.07428621;homem
4.002314565;mulher
6.306349188;mulher
3.682030464;homem
10.37990223;homem
11.86810348;homem
3.404008194;mulher
7.232109421;mulher
8.331020255;homem
6.837064528;mulher
11.05246686;homem
10.8202631;homem
3.767760533;homem
5.051677534;mulher
9.047305954;homem
9.443296684;homem
6.933453926;homem
7.611386698;mulher
7.658371954;homem
7.821103688;mulher
6.046753093;mulher
13.08341049;homem
6.226026996;homem
6.019387057;homem
8.132748827;mulher
5.684293232;mulher
6.934113693;mulher
9.66592424;homem
7.97612565;homem
13.43069953;homem
3.072011202;mulher
7.048077991;homem
4.645745231;mulher
7.215818549;homem
3.178554644;mulher
8.063259828;homem
12.925393;homem
10.18511497;homem
8.653749054;homem
10.15446392;homem
7.814008438;homem
8.980449138;homem
5.072718154;mulher
6.107164579;mulher
11.73296036;homem
7.203063216;mulher
4.686095256;mulher
10.5194585;mulher
5.627947198;mulher
4.575238358;mulher
6.005268001;mulher
8.150385357;homem
11.46586594;homem
6.235477776;homem
5.902662595;mulher
5.59090429;mulher
7.78950288;mulher
5.287105527;homem
5.409479731;mulher
10.32762101;homem
10.24962892;homem
5.738365975;mulher
8.878290086;mulher
12.1562342;homem
7.145499912;mulher
10.70535787;homem
8.236770528;mulher
7.289587551;mulher
6.290996133;homem
9.171709074;homem
6.937457075;homem
10.15274265;homem
6.94272526;homem
6.402697787;mulher
7.389754972;homem
4.85412792;homem
9.880898382;homem
3.188792902;mulher
5.326973975;mulher
11.00245247;homem
9.816581187;homem
4.818308395;mulher
3.958833833;mulher
7.803754466;mulher
9.777284899;homem
6.308249998;mulher
7.265171115;homem
12.18428979;homem
10.84292927;homem
7.66829068;homem
7.194139783;mulher
11.01959198;homem
5.804538856;homem
6.893939604;homem
4.787211021;mulher
6.707598859;homem
7.811791134;mulher
10.28981512;homem
4.892431723;mulher
8.550338292;homem
3.470329457;homem
8.224802701;homem
9.078586551;homem
8.044186459;homem
9.480972631;homem
11.35367601;homem
3.453323562;mulher
6.837030504;mulher
7.181865234;homem
3.821133227;mulher
9.389039826;homem
9.642337585;mulher
3.398385363;mulher
5.535162847;mulher
6.249022455;mulher
7.234962002;homem
10.12450263;homem
4.617867076;mulher
8.373898248;mulher
7.636527996;mulher
7.914538375;homem
5.006900983;homem
10.87067008;homem
10.27524126;homem
9.679321207;mulher
1.740390435;mulher
0.406803035;mulher
4.469164015;homem
8.659916497;mulher
9.322286984;mulher
8.129228825;mulher
3.13363162;mulher
5.328697813;mulher
13.12974001;homem
7.863716114;mulher
11.83330003;homem
6.451523078;homem
8.278110444;mulher
9.861233907;mulher
4.485684993;mulher
8.606172958;homem
6.786653907;mulher
8.379284894;homem
8.562197368;homem
6.755826825;mulher
5.305437984;homem
4.848821721;mulher
12.48671451;homem
12.26868429;homem
8.281529486;mulher
9.382046817;homem
6.848960602;mulher
3.156238103;mulher
4.574811308;mulher
7.273768547;mulher
7.853667694;homem
9.334997964;homem
5.634975308;mulher
8.630621474;homem
9.157321075;mulher
4.643732056;homem
6.056396698;mulher
4.364778807;mulher
7.427949344;mulher
12.39979118;homem
8.008178968;mulher
6.05830434;mulher
6.870705704;mulher
12.39450088;homem
12.25636442;homem
6.671990874;homem
11.98578205;mulher
6.712342056;mulher
4.559120564;mulher
